Maximum,Minimum,Average
80,67,74
70,56,63
76,56,66
79,58,69
77,60,69
87,63,75
88,71,80
81,66,74
80,62,71
79,60,70
81,60,71
80,70,75
85,68,77
80,61,71
70,55,63
72,55,64
78,54,66
79,59,69
80,57,69
82,60,71
86,63,75
90,69,80
75,59,67
75,57,66
75,55,65
84,68,76
87,65,76
73,59,66
81,58,70
79,59,69
84,59,72
